P00001606T0076|14 50|alkaline phosphatases and 5-nucleotidase
P00015731A0090|36 52|carbonic anhydrase
P00027739T0000|0 28|Serum gamma glutamyltransferase
P00029953T0045|17 22|lipase
P00030183T0000|33 38|HLA-B5
P00030937A0119|13 31|alkaline phosphatase
P00033873T0001|0 26|Gamma glutamyl transpeptidase
P00050628A0202|2 4|IgG
P00052597T0000|9 23|immunoglobulin E
P00054900A0226|37 57|chloroacetate esterase
P00055040A0000|243 254|cryoglobulin
P00055040A0000|263 278|plasma fibrinogen
P00055040A0000|116 125|fibrinogen
P00055040A0000|127 132|fibrin
P00056901A0308|10 21|human albumin
P00088391A0181|64 78|factor IX antigen
P00088391A0181|10 21|hand factor IX
P00089778A0000|18 37|alpha 2-macroglobulin
P00089778A0000|39 56|alpha 1-antitrypsin
P00089778A0000|84 93|fibrinogen
P00100540T0000|44 66|platelet cyclo-oxygenase
P00105401A0635|204 206|FT4
P00105401A0635|17 19|DPH
P00139624A0318|48 65|serum ceruloplasmin
P00150066A0100|6 20|human fibrinogen
P00150066A0100|52 59|thrombin
P00199012T0000|7 10|ACTH
P00201881A0487|65 68|ACTH
P00201881A0487|72 74|MSH
P00209664A0836|33 34|LH
P00216939T0001|32 61|tricarboxylic acid dehydrogenase
P00219565A0172|14 30|hepatitis B antigen
P00221725A0523|43 52|peroxidase
P00221725A0523|25 41|cytochrome oxidase
P00222102A0227|57 67|vitamin-D-3
P00227393T0000|63 90|cytochrome P-450 monooxygenase
P00227393T0000|12 45|25-hydroxyvitamin D3-24-hydroxylase
P00227610A1593|31 37|DBP mRNA
P00231555T0001|74 77|ACTH
P00232354A0286|5 8|ACTH
P00232354A0286|24 30|insulin
P00234264A0164|0 26|Gamma glutamyl transpeptidase
P00239169T0000|0 15|Dopamine receptor
P00261981A0434|18 34|serum somatomedin A
P00331128A0000|12 26|serum calcitonin
P00331936T0000|44 71|immunoperoxidase antiglobulin
P00342623A0228|49 60|type B antigen
P00369397A0280|5 7|FSH
P00369397A0280|11 12|LH
P00369397A0280|56 59|GnRH
P00377466A0188|74 82|prolactin
P00377466A0188|69 71|FSH
P00377466A0188|38 39|LH
P00377466A0188|84 87|HPRL
P00377466A0188|42 67|follicle stimulating hormone
P00378492A0475|98 108|plasma renin
P00383169A0000|46 78|dopamine receptor stimulating agents
P00385457A0187|20 25|pepsin
P00420460A0291|59 69|plasma renin
P00429949A0000|103 116|human prolactin
P00429949A0000|195 197|IRP
P00429949A0000|201 214|human prolactin
P00431832T0001|42 53|beta receptor
P00445259T0000|5 12|ferritin
P00453780A0430|20 22|IgA
P00453780A0430|155 157|IgA
P00464387A1185|25 32|serum IgE
P00465681A0000|7 16|hemoglobin
P00473249T0000|40 52|streptolysin O
P00499588T0000|49 55|insulin
P00503336A0285|81 99|alkaline phosphatase
P00512215A0000|136 137|L1
P00521732T0000|81 97|steroid sulphatase
P00521732T0000|27 43|oestradiol-17 beta
P00528144T0000|11 21|transferrin
P00534613A0000|95 102|collagen
P00589073A0000|15 29|plasma prolactin
P00593119T0001|42 44|IgE
P00593119T0001|75 102|allergospecific IgE antibodies
P00594617A0192|171 184|fibrin monomers
P00598012A0174|7 15|prolactin
P00598012A0174|84 92|prolactin
P00602622A0362|36 42|Vikalin
P00603783A0647|13 15|IgG
P00603783A0647|77 79|IgA
P00603783A0647|19 21|IgM
P00622556A0111|16 23|collagen
P00637637T0000|27 37|plasma renin
P00656008T0000|41 59|superoxide dismutase
P00668122A0414|106 122|ferritin molecules
P00702773A0327|88 90|GFR
P00710372A0302|82 83|GH
P00715753A0241|115 119|CK-MB
P00715753A0241|53 61|total-CPK
P00716366T0001|22 40|alkaline phosphatase
P00725534A0888|66 68|IgA
P00725534A0888|139 141|IgA
P00725752T0001|44 65|adrenergic beta receptor
P00759049A0185|93 96|ICSH
P00780639X0000|0 22|Carcinoembryonic antigen
P00792847A0000|21 42|antilymphocyte globulin
P00812183T0000|10 23|transfer factor
P00818380A0239|0 15|Rheumatoid factor
P00837811A0675|61 73|gamma globulin
P00846559A0000|187 194|T-2 toxin
P00866577A0579|21 41|plasminogen activators
P00877857A0763|0 11|Serum amylase
P00877857A0763|58 65|serum FFA
P00881630A0000|90 104|Phospholipase-A
P00898500A0246|143 153|IgE antibody
P00918556A0000|15 38|hepatitis B surface antigen
P00918556A0000|40 44|HBsAg
P00918556A0000|49 56|anti-HBs
P00921911A0159|12 14|PGF
P00947834X0000|13 15|IgE
P00954819A1041|128 131|AChE
P00956554A0414|95 107|IgE antibodies
